Id,Label,timeset,class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Hammurabi,Hammurabi,,0,6,11,17,4,0.36357,0.382461,81.607864
Ancient_Egypt,Ancient Egypt,,1,120,39,159,5,0.410235,0.441264,9714.270131
Agriculture,Agriculture,,6,93,36,129,5,0.400968,0.432076,6617.859434
Israel,Israel,,2,46,39,85,5,0.396648,0.428102,1976.787018
Alexander_the_Great,Alexander the Great,,0,49,30,79,5,0.389193,0.417203,2481.436365
Sumer,Sumer,,1,63,38,101,5,0.416946,0.447468,6020.307013
Iran,Iran,,2,76,61,137,5,0.432174,0.468763,7157.416097
Mesopotamia,Mesopotamia,,1,115,47,162,4,0.433493,0.465124,10476.22884
Abraham,Abraham,,0,12,14,26,5,0.347431,0.367656,132.742894
Achaemenid_Empire,Achaemenid Empire,,1,45,29,74,5,0.394132,0.42173,1016.36954
Hatshepsut,Hatshepsut,,0,3,3,6,5,0.297516,0.309926,83.44163
Middle_East,Middle East,,2,82,60,142,5,0.428633,0.465325,5993.629181
Phoenicia,Phoenicia,,1,33,20,53,5,0.368558,0.391918,572.889619
Calendar,Calendar,,9,12,18,30,5,0.368012,0.390828,618.835054
Culture,Culture,,6,58,52,110,4,0.435583,0.468478,5975.629932
Ramesses_II,Ramesses II,,0,4,6,10,5,0.326223,0.34227,16.171389
Bible,Bible,,4,60,26,86,5,0.372983,0.399262,1877.459525
Byzantine_Empire,Byzantine Empire,,1,82,26,108,5,0.396332,0.423491,3187.425775
Cyrus_the_Great,Cyrus the Great,,0,12,26,38,5,0.387524,0.414269,436.488001
Moses,Moses,,0,27,29,56,5,0.373825,0.400973,1108.771132
Paris,Paris,,2,43,38,81,4,0.40588,0.436368,2897.939501
New_York_City,New York City,,2,46,25,71,4,0.38334,0.409121,2619.295118
Nile,Nile,,2,42,26,68,5,0.379534,0.406388,1943.841615
Garden,Garden,,9,6,7,13,6,0.325795,0.342555,159.364053
Italy,Italy,,2,60,81,141,5,0.440603,0.482847,7854.487245
